,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
97,365,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
98,1239,BUSINESS ECONOMICS,MANAB ADHIKARY,EXCEL BOOKS,,BUSINESS,
99,1240,BUSINESS ECONOMICS,MANAB ADHIKARY,EXCEL BOOKS,,BUSINESS,
100,2108,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
101,1587,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
102,2377,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
103,812,BUSINESS ETHICS ETHICAL DECISION MAKING AND CASES,"FERREL, FEDARICH, FERREL",BIZTANTRA PUBLICATION,,BUSINESS,
104,Z3015,BUSINESS ETHICS ETHICAL DECISION MAKING AND CASES,"FERREL, FEDARICH, FERREL",BIZTANTRA PUBLICATION,,BUSINESS,
105,22,BUSINESS ETHICS CONSEPTS AND CASES,Manuel G. Velasquez,PEARSON EDUCATION,,BUSINESS,
106,21,BUSINESS ETHICS CONSEPTS AND CASES,Manuel G. Velasquez,PEARSON EDUCATION,,BUSINESS,
107,1220,BUSINESS ENVIRONMENT,VIVEK MITTAL ,EXCEL BOOKS,,BUSINESS,
108,2303,INTERNATIONAL BUSINESS,K Aswathappa,TATA MCGRAW HILL,,BUSINESS,
109,2405,INTERNATIONAL BUSINESS,K Aswathappa,TATA MCGRAW HILL,,BUSINESS,
110,Z3028,BUSINESS LAW ,S S GULSHAN,EXCEL BOOKS,,BUSINESS,
111,Z3029,INTERNATIONAL BUSINESS,RAKESH MOHAN JOSHI,OXFORD,,BUSINESS,
112,52,GOVERNMENT AND BUSINESS ,N K SENGUPTE,VIKAS PUBLISHING HOUSE,,BUSINESS,
113,637,BUSINESS RESEARCH METHODS,S N MURTHY,EXCEL BOOKS,,BUSINESS,
114,111,PIONEERING ORGANIZATIONS,LARRY DAVIS,JAICO PUBLISHING HOUSE ,,ORGANIZATIONAL BEHAVIOR,
115,110,PIONEERING ORGANIZATIONS,LARRY DAVIS,JAICO PUBLISHING HOUSE ,,ORGANIZATIONAL BEHAVIOR,
116,109,PIONEERING ORGANIZATIONS,LARRY DAVIS,JAICO PUBLISHING HOUSE ,,ORGANIZATIONAL BEHAVIOR,
117,171,INTERNATIONAL BUSINESS ENVIRONMENT,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
118,169,INTERNATIONAL BUSINESS ENVIRONMENT,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
119,100,INTERNATIONAL BUSINESS ENVIRONMENT,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
120,400,BUSINESS ENVIRONMENT,SHAIK SALEEM,PEARSON EDUCATION,,BUSINESS,
121,403,BUSINESS ENVIRONMENT,SHAIK SALEEM,PEARSON EDUCATION,,BUSINESS,
122,400,BUSINESS ENVIRONMENT,SHAIK SALEEM,PEARSON EDUCATION,,BUSINESS,
123,50,BUSINESS ETHICS AN INDIAN PERSPECTIVE,"P S BAJAJ, RAJ AGRWAL",BIZTANTRA PUBLICATION,,BUSINESS,
124,49,BUSINESS ETHICS AN INDIAN PERSPECTIVE,"P S BAJAJ, RAJ AGRWAL",BIZTANTRA PUBLICATION,,BUSINESS,
125,1065,GLOBAL BUSINESS ,"MIKE PENY, DEEPAK SRIVASTAVE",cengage education,,BUSINESS,
126,1205,BUSINESS RESEARCH METHODS,"COOPER, SCHINDLER",TATA MCGRAW HILL,,BUSINESS,
127,625,BUSINESS RESEARCH METHODS,"COOPER, SCHINDLER",TATA MCGRAW HILL,,BUSINESS,
128,624,BUSINESS RESEARCH METHODS,"COOPER, SCHINDLER",TATA MCGRAW HILL,,BUSINESS,
129,600,BUSINESS RESEARCH METHODS,"COOPER, SCHINDLER",TATA MCGRAW HILL,,BUSINESS,
130,Z2126,BUSINESS RESEARCH METHODS,"COOPER, SCHINDLER",TATA MCGRAW HILL,,BUSINESS,
131,408,INTERNATIONAL BUSINESS,JUSTIN PAUL,PHI,,BUSINESS,
132,1202,LABOUR AND INDUSTRIAL LAW ,P K PANDHI,PHI,,BUSINESS,
133,99,BUSINESS POLLCY AND STRATEGIC MANAGEMENT,"SUKUL LOMASH, P K MISHRA",VIKAS PUBLISHING HOUSE,,BUSINESS,
134,Z3041,ETHICS IN BUSINESS AND CORPORATE GOVERNMENT,S K MANDAL,MCGRAW HILL,,BUSINESS,
135,Z3043,Dynamics of Successful International Business Negotiations,"Robert T. Moran, William G. Stripp",JAICO PUBLISHING HOUSE ,,BUSINESS,
136,Z3042,Dynamics of Successful International Business Negotiations,"Robert T. Moran, William G. Stripp",JAICO PUBLISHING HOUSE ,,BUSINESS,
137,Z30411,Dynamics of Successful International Business Negotiations,"Robert T. Moran, William G. Stripp",JAICO PUBLISHING HOUSE ,,BUSINESS,
138,1271,BUSINESS LAW ,M C MUCHHAL,VIKAS PUBLISHING HOUSE,,BUSINESS,
139,407,INTERNATIONAL BUSINESS ,R CHANDAN,JAICO PUBLISHING HOUSE ,,BUSINESS,
140,1221,BUSINESS ENVIRONMENT,JUSTIN PAUL,JAICO PUBLISHING HOUSE ,,BUSINESS,
141,1058,INTERNATIONAL BUSINESS,"HILL, JAIN",TATA MCGRAW HILL,,BUSINESS,
142,Z3047,GLOBAL BUSINESS REVIEW,VENKATRAMAN,SAGE PUBLICATION,,BUSINESS,
143,Z3048,GLOBAL BUSINESS REVIEW,VENKATRAMAN,SAGE PUBLICATION,,BUSINESS,
144,1427,LEGAL ASPECTS OF BUSINESS ,AKHILESHWAR PATHAK,TATA MCGRAW HILL,,BUSINESS,
145,595,INTERNATIONAL BUSINESS ENVIRONMENT AND OPERATION,"DANIELS, RODEBAUGH, SALLIVAN, SALAAH",PEARSON EDUCATION,,BUSINESS,
146,1127,BUSINESS PROCESS REENGINEERING AND CHANGE MANAGEMENT ,B R RAY,BIZTANTRA PUBLICATION,,BUSINESS,
147,1617,BUSINESS PROCESS REENGINEERING AND CHANGE MANAGEMENT ,B R RAY,BIZTANTRA PUBLICATION,,BUSINESS,
148,988,BUSINESS PROCESS REENGINEERING AND CHANGE MANAGEMENT ,B R RAY,BIZTANTRA PUBLICATION,,BUSINESS,
149,1005,BUSINESS PROCESS REENGINEERING AND CHANGE MANAGEMENT ,B R RAY,BIZTANTRA PUBLICATION,,BUSINESS,
150,957,UNDERSTANDING ORGANIZAONAL BEHAVIOR,UDAI PAREEK,OXFORD,,ORGANIZATIONAL BEHAVIOR,
151,940,ORGANIZATIONAL DEVELOPMENT,"FRANCH, BELL JR",PHI,,ORGANIZATIONAL BEHAVIOR,
152,1156,ORGANIZATIONAL BEHAVIOR,"MCSHANE, SHARMA, VONGLINOW",TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
153,1154,ORGANIZATIONAL BEHAVIOR,"MCSHANE, SHARMA, VONGLINOW",TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
154,924,ORGANIZATIONAL BEHAVIOR,"MCSHANE, SHARMA, VONGLINOW",TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
155,1155,ORGANIZATIONAL BEHAVIOR,"MCSHANE, SHARMA, VONGLINOW",TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
156,1176,ORGANIZATIONAL BEHAVIOR,M N MISHRA,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
157,79,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
158,942,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
159,1061,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
160,941,ORGANIZATIONAL BEHAVIOR,JIT CHANDAN ,VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
161,58,EFFECTIVIE TRAINING,"P NICK BLANCHARD, JAMES THACKER",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
162,64,EFFECTIVIE TRAINING,"P NICK BLANCHARD, JAMES THACKER",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
