,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
197,Z2147,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
198,Z4004,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
199,1634,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
200,1729,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
201,1635,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
202,917,BUSINESS COMMUNICATION,"P D CHATURVEDI, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
203,236,ESSENTIALS OF BUSINESS COMMUNICATION,"RAJENDRA PAL, J S KORLAHALLI",S CHAND PUNLICATION,,COMMUNITION,
204,976,HANDBOOK OF PRACTICAL COMMUNICATION SKILL,CHRISSIE WRIGHT,JAICO PUBLISHING HOUSE ,,COMMUNITION,
205,961,HANDBOOK OF PRACTICAL COMMUNICATION SKILL,CHRISSIE WRIGHT,JAICO PUBLISHING HOUSE ,,COMMUNITION,
206,989,HANDBOOK OF PRACTICAL COMMUNICATION SKILL,CHRISSIE WRIGHT,JAICO PUBLISHING HOUSE ,,COMMUNITION,
207,961,BUSINESS COMMUNICATION TODAY,"CORTLAND BOVEE, JOHN THILL, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
208,989,BUSINESS COMMUNICATION TODAY,"CORTLAND BOVEE, JOHN THILL, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
209,1102,BUSINESS COMMUNICATION TODAY,"CORTLAND BOVEE, JOHN THILL, MUKESH CHATURVEDI",PEARSON EDUCATION,,COMMUNITION,
210,Z4005,BUSINESS COMMUNICATION ,"V K JAIN, OMPRAKASH BIYANI ",S CHAND PUBLICATION,,COMMUNITION,
211,Z4006,"BUSINESS COMMUNICATION PRINCIPLES, METHODS AND TECHNIQUES",NIRMAL SINGH,DEEP AND DEEP PUBLICATION,,COMMUNITION,
212,1230,MEDIA AND COMMUCATION MANAGEMENT ,C S RAYADU,HIMALAYA PUBLISHING HOUSE,,COMMUNITION,
213,1231,MEDIA AND COMMUCATION MANAGEMENT ,C S RAYADU,HIMALAYA PUBLISHING HOUSE,,COMMUNITION,
214,761,CONSUMER BEHAVIOR ,HENRRY ASSAEL,BIZTANTRA PUBLICATION,,CONSUMER BEHAVIOR ,
215,763,CONSUMER BEHAVIOR ,HENRRY ASSAEL,BIZTANTRA PUBLICATION,,CONSUMER BEHAVIOR ,
216,711,CONSUMER BEHAVIOR ,HENRRY ASSAEL,BIZTANTRA PUBLICATION,,CONSUMER BEHAVIOR ,
217,750,CONSUMER BEHAVIOR ,"SCHIFFMAN, KANUK",PEARSON EDUCATION,,CONSUMER BEHAVIOR ,
218,718,CUSTOMER RELATIONSHIP MANAGEMENT,"H PEERU MOHAMED, A SAGADEVAN",VIKAS PUBLISHING HOUSE,,CONSUMER BEHAVIOR ,
219,762,SHOPPER BUYER AND CONSUMER BEHAVIOR THEORY AND MARKETING APPLICATIONS,"LINDQUIST, SIRGY",BIZTANTRA PUBLICATION,,CONSUMER BEHAVIOR ,
220,730,SHOPPER BUYER AND CONSUMER BEHAVIOR THEORY AND MARKETING APPLICATIONS,"LINDQUIST, SIRGY",BIZTANTRA PUBLICATION,,CONSUMER BEHAVIOR ,
221,576,CONSUMER BEHAVIOR CONSEPTS AND APPLICATIONS ,"DAVID LOUDON, DELLA BITTA",TATA MCGRAW HILL,,CONSUMER BEHAVIOR ,
222,1171,CONSUMER BEHAVIOR ,"BLACKWELL, MINIARD, ENGEL",cengage education,,CONSUMER BEHAVIOR ,
223,756,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
224,739,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
225,736,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
226,1186,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
227,740,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
228,746,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
229,706,ADVAERTIZING MANAGEMENT,"RAJEEV BATRA, JOHN MYERS, A A KER",PHI,,ADEVERTIZING,
230,703,ADVERTIZING AND PROMOTION AN INTIGRATED MARKETING COMMUNICATIONS PERSPECTIVE,"BELCH, BELCH",TATA MCGRAW HILL,,ADEVERTIZING,
231,1273,FAUNDATIONS OF ADVERTIZING  THEORY AND PRACTICE,"CHUNAWALLA, SETHIA",HIMALAYA PUBLISHING HOUSE,,ADEVERTIZING,
232,1234,ADVERTIZING AND PROMOTIONS,"KRUTI SHAH, ALAN DSOUZA",TATA MCGRAW HILL,,ADEVERTIZING,
233,666,MANAGING AND MARKETING TECHNOLOGY,"FOOD, SAREN",,,ADEVERTIZING,
234,699,ADVERTIZNG AND PROMOTION ,SHIMP,cengage education,,ADEVERTIZING,
235,253,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
236,199,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
237,Z6021,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
238,Z6022,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
239,Z6023,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
240,Z6024,E COMMERECE STRATEGY  TECHKNOLODGY AND IMPLEMENTATION,GARY SCHNEIDER,cengage education,,ADEVERTIZING,
241,Z2219,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
242,Z2131,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
243,262,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
244,Z2220,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
245,Z2221,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
246,2364,MAMAGEMENT  ,N D VOHRA ,TATA MCGRAW HILL,,MANAGEMENT,
247,991,OPEARATION MANAGEMENT,"LEE J KRAJEWSKI, MANOJ K MALHOTRA, LARRY P RITZMAN",TATA MCGRAW HILL,,MANAGEMENT,
248,731,BRAND MANAGEMENT ,Y L R MOORTHY,S CHAND PUBLICATION,,MANAGEMENT,
249,Z2224,BRAND MANAGEMENT ,Y L R MOORTHY,S CHAND PUBLICATION,,MANAGEMENT,
250,Z2226,BRAND MANAGEMENT ,Y L R MOORTHY,S CHAND PUBLICATION,,MANAGEMENT,
251,159,MODERN MANAGEMENT,"ROBBERT HELLER, B K CHATTERJEE",JAICO PUBLISHING HOUSE ,,MANAGEMENT,
252,135,MODERN MANAGEMENT,"ROBBERT HELLER, B K CHATTERJEE",JAICO PUBLISHING HOUSE ,,MANAGEMENT,
253,Z2230,PRODUCT AND BRAND MANAGEMENT,SAROJ KUMAR,THAKUR PUBLICATION,,MANAGEMENT,
254,20,STRATEGIC MANAGEMENT,FRED DAVID,PEARSON EDUCATION,,MANAGEMENT,
255,115,MANAGEMENT OF CO OPERATIVES,RAM KISHEN Y.,JAICO PUBLISHING HOUSE ,,MANAGEMENT,
256,114,MANAGEMENT OF CO OPERATIVES,RAM KISHEN Y.,JAICO PUBLISHING HOUSE ,,MANAGEMENT,
257,113,MANAGEMENT OF CO OPERATIVES,RAM KISHEN Y.,JAICO PUBLISHING HOUSE ,,MANAGEMENT,
258,362,STRATEGIC MANAGEMENT ,JOHN PARNELL,MCGRAW HILL,,MANAGEMENT,
259,Z2217,STRATEGIC MANAGEMENT ,JOHN PARNELL,MCGRAW HILL,,MANAGEMENT,
260,743,INTEGRATED RETAIL MANAGEMENT,"JAMES R OGDEN, DENISE T OGDEN",BIZTANTRA PUBLICATION,,MANAGEMENT,
261,708,INTEGRATED RETAIL MANAGEMENT,"JAMES R OGDEN, DENISE T OGDEN",BIZTANTRA PUBLICATION,,MANAGEMENT,
262,742,INTEGRATED RETAIL MANAGEMENT,"JAMES R OGDEN, DENISE T OGDEN",BIZTANTRA PUBLICATION,,MANAGEMENT,
263,1855,STRATEGIC  MANAGEMENT ,"JOHN PEARCE, RICHARD ROBINSON,AMITA MITTAL",MCGRAW HILL,,MANAGEMENT,
264,Z2216,STRATEGIC  MANAGEMENT ,"JOHN PEARCE, RICHARD ROBINSON,AMITA MITTAL",MCGRAW HILL,,MANAGEMENT,
265,1065,STRATEGIC  MANAGEMENT ,"JOHN PEARCE, RICHARD ROBINSON,AMITA MITTAL",MCGRAW HILL,,MANAGEMENT,
266,2089,STRATEGIC  MANAGEMENT ,"JOHN PEARCE, RICHARD ROBINSON,AMITA MITTAL",MCGRAW HILL,,MANAGEMENT,
267,412,MANAGEMENT OF CO OPERATIVES,RICKY W GRIFFIN,BIZTANTRA PUBLICATION,,MANAGEMENT,
268,42,MANAGEMENT OF CO OPERATIVES,RICKY W GRIFFIN,BIZTANTRA PUBLICATION,,MANAGEMENT,
269,396,PRINCIPLES AND PRACTICE OF MANAGEMENT,L M PRASAD,S CHAND PUBLICATION,,MANAGEMENT,
270,395,PRINCIPLES AND PRACTICE OF MANAGEMENT,L M PRASAD,S CHAND PUBLICATION,,MANAGEMENT,
271,68,INTERNATIONAL MANAGEMENT CASES AND CONSEPTS,"MANAB THAKUR, GENE BURTON, B N SRIVASTAV",TATA MCGRAW HILL,,MANAGEMENT,
272,139,TEAM MANAGEMENT ORGANIZING AND MANAGING TEAM,ROGER SHEWART,TATA MCGRAW HILL,,MANAGEMENT,
273,105,TEAM MANAGEMENT ORGANIZING AND MANAGING TEAM,ROGER SHEWART,TATA MCGRAW HILL,,MANAGEMENT,
274,55,PRINCIPLES OF INSURUNCE MANAGEMENT,NEELAM C GULATI,EXCEL BOOKS,,MANAGEMENT,
275,57,PRINCIPLES OF INSURUNCE MANAGEMENT,NEELAM C GULATI,EXCEL BOOKS,,MANAGEMENT,
276,56,PRINCIPLES OF INSURUNCE MANAGEMENT,NEELAM C GULATI,EXCEL BOOKS,,MANAGEMENT,
277,359,MANAGEMENT PRINCIPLES AND GUIDELINESS,"THOMAS DUENING, JOHN IVANCEVICH",BIZTANTRA PUBLICATION,,MANAGEMENT,
278,413,MANAGEMENT PRINCIPLES AND GUIDELINESS,"THOMAS DUENING, JOHN IVANCEVICH",BIZTANTRA PUBLICATION,,MANAGEMENT,
279,360,MANAGEMENT PRINCIPLES AND GUIDELINESS,"THOMAS DUENING, JOHN IVANCEVICH",BIZTANTRA PUBLICATION,,MANAGEMENT,
280,Z2228,MAD SAD AND BAD MANAGEMENT,ADRIAN FURNHAM,JAICO PUBLISHING HOUSE ,,MANAGEMENT,
281,108,MAD SAD AND BAD MANAGEMENT,ADRIAN FURNHAM,JAICO PUBLISHING HOUSE ,,MANAGEMENT,
282,552,STRATEGIC BRAND MANAGEMENT  ,KELLER,PEARSON EDUCATION,,MANAGEMENT,
283,2320,STRATEGIC BRAND MANAGEMENT  ,KELLER,PEARSON EDUCATION,,MANAGEMENT,
284,979,WAREHOUSE MANAGEMENT AND INVENTORY CONTROL,J P SAXENA,SANGAM BOOKS ,,MANAGEMENT,
285,980,WAREHOUSE MANAGEMENT AND INVENTORY CONTROL,J P SAXENA,SANGAM BOOKS ,,MANAGEMENT,
286,232,ENTERPRICE RESOURCE PLANNING,"MONK, WAGNER",cengage education,,MANAGEMENT,
287,Z2168,ENTERPRICE RESOURCE PLANNING,"MONK, WAGNER",cengage education,,MANAGEMENT,
288,Z2167,ENTERPRICE RESOURCE PLANNING,"MONK, WAGNER",cengage education,,MANAGEMENT,
289,Z2166,ENTERPRICE RESOURCE PLANNING,"MONK, WAGNER",cengage education,,MANAGEMENT,
290,823,SALES AND DISTRIBUTION MANAGEMENT,"KRISHNA HAVALDAR, VASANT CHAVLE",MCGRAW HILL,,MANAGEMENT,
291,2023,SALES AND DISTRIBUTION MANAGEMENT,"KRISHNA HAVALDAR, VASANT CHAVLE",MCGRAW HILL,,MANAGEMENT,
292,Z3030,MANAGEMENT CONSEPTS AND STRATEGIES,J S CHANDAN,VIKAS PUBLISHING HOUSE,,MANAGEMENT,
293,80,MANAGEMENT CONSEPTS AND STRATEGIES,J S CHANDAN,VIKAS PUBLISHING HOUSE,,MANAGEMENT,
294,409,ESSENTIALS OF MANAGEMENT,"KOONTZ, WEIHRICH",MCGRAW HILL,,MANAGEMENT,
295,1129,MANAGEMENT CONTROL SYSTEM,PRADIP KUMAR SINHA,EXCEL BOOKS,,MANAGEMENT,
296,151,GLOBAL MANAGEMENT SOLUTION,"DINESH SETH, RASTOGI",THOMSON PUBLICATION ,,MANAGEMENT,
297,387,MANAGEMENT 2,D R PATEL,ATUL PRAKASHAN,,MANAGEMENT,
298,23,MANAGEMENT 2,D R PATEL,ATUL PRAKASHAN,,MANAGEMENT,
299,24,MANAGEMENT 2,D R PATEL,ATUL PRAKASHAN,,MANAGEMENT,
300,1147,MANAGEMENT A GLOBAL AND ENTREPRENEURIAL PERSPECTIVE ,"WEIHRICH, CANNICE,KAONTZ",TATA MCGRAW HILL,,MANAGEMENT,
301,2040,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
302,1900,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
303,Z3011,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
304,2162,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
305,2055,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
306,1889,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
307,1796,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
308,1914,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
309,1975,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
310,2056,MANAGEMENT TEXT AND CASES,"V S P RAO, V HARI KRISHNAN",EXCEL BOOKS,,MANAGEMENT,
311,350,MANAGEMENT,"JAMES STONER, R EDWARD GILBERT, DANIE FREEMAN",PEARSON EDUCATION,,MANAGEMENT,
312,1199,RETAIL MANAGEMENT A STRATEGIC APPROACH,"BERMAN, EVANCE",PEARSON EDUCATION,,MANAGEMENT,
313,1166,RETAIL MANAGEMENT A STRATEGIC APPROACH,"BERMAN, EVANCE",PEARSON EDUCATION,,MANAGEMENT,
314,1197,RETAIL MANAGEMENT A STRATEGIC APPROACH,"BERMAN, EVANCE",PEARSON EDUCATION,,MANAGEMENT,
315,1063,RETAIL MANAGEMENT A STRATEGIC APPROACH,"BERMAN, EVANCE",PEARSON EDUCATION,,MANAGEMENT,
316,447,SUPPLY CHAIN MANAGEMENT ,"CHOPRA, MEINDL, KALRA",PEARSON EDUCATION,,MANAGEMENT,
317,Z2501,BUSINESS AND MANAGEMENT,"IVANCEVICH, DURENING",BIZTANTRA PUBLICATION,,MANAGEMENT,
318,Z2502,BUSINESS AND MANAGEMENT,"IVANCEVICH, DURENING",BIZTANTRA PUBLICATION,,MANAGEMENT,
319,256,PRODUCT MANAGEMENT IN INDIA,RAMANUJ MAJUMDAR,PHI,,MANAGEMENT,
320,985,PRODUCT AND BRAND MANAGEMENT,U C MATHUR,EXCEL BOOKS,,MANAGEMENT,
321,Z2222,PRODUCTION AND OPERATIONS MANAGEMENT,KANISHKA BEDI,OXFORD,,MANAGEMENT,
322,1850,PRINCIPLESOF MANAGEMENT,"TRIPATHI, REDDY",TATA MCGRAW HILL,,MANAGEMENT,
323,76,CASE STUDIES IN MANAGEMENT,"PREM VRAT, K K AHUJA, P K JAIN",VIKAS PUBLISHING HOUSE,,MANAGEMENT,
324,Z2227,PRINCIPLES OF MANAGEMENT,T J RANA,B S SHAH PRAKASHAN,,MANAGEMENT,
325,857,HUMAN RESOURCE MANAGEMENT,MIRZA SAIYADAIN,TATA MCGRAW HILL,,HR,
326,862,HUMAN RESOURCE MANAGEMENT,MIRZA SAIYADAIN,TATA MCGRAW HILL,,HR,
327,841,HUMAN RESOURCE MANAGEMENT,"SNELL, BOHLANDER",THOMSON PUBLICATION ,,HR,
328,856,STRATEGIC PROSPECTS FOR HUMAN RESOURCE MANAGEMENT,SHAUN TYSON,JAICO PUBLISHING HOUSE ,,HR,
329,849,STRATEGIC PROSPECTS FOR HUMAN RESOURCE MANAGEMENT,SHAUN TYSON,JAICO PUBLISHING HOUSE ,,HR,
330,809,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,P L RAO,EXCEL BOOKS,,HR,
331,854,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,P L RAO,EXCEL BOOKS,,HR,
332,1106,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,P L RAO,EXCEL BOOKS,,HR,
333,1198,HUMAN RESOURCE DEVELOMENT,WERNER DESIMONE,cengage education,,HR,
334,Z3021,MANAGING HUMAN RESOURCE,WAYNE CASCIO,TATA MCGRAW HILL,,HR,
335,1067,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,"EDWARDS, REES",PEARSON EDUCATION,,HR,
336,866,EMERGNG ISSUES IN HUMAN RESOURCE MANAGEMENT,"T D TIWARI, PRATAPSINH CHAUHAN",SANTI PRAKASHAN,,HR,
337,867,EMERGNG ISSUES IN HUMAN RESOURCE MANAGEMENT,"T D TIWARI, PRATAPSINH CHAUHAN",SANTI PRAKASHAN,,HR,
338,Z3021,EMERGNG ISSUES IN HUMAN RESOURCE MANAGEMENT,"T D TIWARI, PRATAPSINH CHAUHAN",SANTI PRAKASHAN,,HR,
339,818,FUNDAMENTALS OF HUMAN RESOURCE MANAGEMENT,"DECENZO, ROBBINS",WILEY,,HR,
340,819,FUNDAMENTALS OF HUMAN RESOURCE MANAGEMENT,"DECENZO, ROBBINS",WILEY,,HR,
341,Z3036,STRATEGIC HUMAN RESOURCE MANAGEMENT A RESOURCE DRIVEN PERSPECTIVE,PULAK DAS,cengage education,,HR,
342,Z3037,STRATEGIC HUMAN RESOURCE MANAGEMENT A RESOURCE DRIVEN PERSPECTIVE,PULAK DAS,cengage education,,HR,
343,Z3038,STRATEGIC HUMAN RESOURCE MANAGEMENT A RESOURCE DRIVEN PERSPECTIVE,PULAK DAS,cengage education,,HR,
344,Z3039,STRATEGIC HUMAN RESOURCE MANAGEMENT A RESOURCE DRIVEN PERSPECTIVE,PULAK DAS,cengage education,,HR,
345,1053,ARMSTRONG'S HANDBOOK OF HUMAN RESOURCE,MICHAEL ARMSTRONG,KOGAN PAGE,,HR,
346,240,INTODUCTION TO ACCOUNTENCY,"T S GREWAL, S C GUPTA",S CHAND PUBLICATION,,Accounting,
347,824,HUMAN RESOURCE DEVELOMENT AND MANAGEMENT,BISWANATH GHOSH,VIKAS PUBLISHING HOUSE,,HR,
348,1716,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
349,1079,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
350,Z2174,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
351,1622,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
352,Z2176,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
353,1108,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
354,Z3019,STRATEGIC HUMAN RESOURCE MANAGEMENT,JEFFEREY MELLO,cengage education,,HR,
355,Z2169,HUMAN RESOURCE MANAGEMENT TEXT AND CASES,"R K BALYAN, J B TAKORE",BOOKS INDIA PUBLICATION,,HR,
356,Z3020,HUMAN RESOURCE MANAGEMENT TEXT AND CASES,"R K BALYAN, J B TAKORE",BOOKS INDIA PUBLICATION,,HR,
357,852,HUMAN RESOURCE MANAGEMENT IN ORGANISATIONS,IZABELA ROBINSON,JAICO PUBLISHING HOUSE ,,HR,
358,879,HUMAN RESOURCE MANAGEMENT IN ORGANISATIONS,IZABELA ROBINSON,JAICO PUBLISHING HOUSE ,,HR,
359,890,HUMAN RESOURCE MANAGEMENT,"DENISI, GRIFFIN",BIZTANTRA PUBLICATION,,HR,
360,846,HUMAN RESOURCE MANAGEMENT,"DENISI, GRIFFIN",BIZTANTRA PUBLICATION,,HR,
361,829,HUMAN RESOURCE MANAGEMENT,"FISHER, SCHOENFEIDT, SHAW",BIZTANTRA PUBLICATION,,HR,
362,860,HUMAN RESOURCE MANAGEMENT,"FISHER, SCHOENFEIDT, SHAW",BIZTANTRA PUBLICATION,,HR,
363,1087,CORPORATE ACCOUNTING ,"MAHESHWARY, MAHESHWARY",VIKAS PUBLISHING HOUSE,,Accounting,
364,816,CORPORATE ACCOUNTING ,"MAHESHWARY, MAHESHWARY",VIKAS PUBLISHING HOUSE,,Accounting,
365,833,HUMAN RESOURCE MANAGEMENT A MANAGERIAL TOOL FOR COMPETITIVE ADVANTAGE,KLEIMAN,BIZTANTRA PUBLICATION,,HR,
366,817,HUMAN RESOURCE MANAGEMENT A MANAGERIAL TOOL FOR COMPETITIVE ADVANTAGE,KLEIMAN,BIZTANTRA PUBLICATION,,HR,
367,1059,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,"DOWLING, WELCH",cengage education,,HR,
368,606,ACCOUNTING FOR MANAGERS,"J MADE, GOWDA",HIMALAYA PUBLISHING HOUSE,,Accounting,
369,431,FINANCIAL ACCOUNTING FOR MANAGERIAL EMPHASIS,ASHOK BANEREGEE,EXCEL BOOKS,,Accounting,
370,Z3045,A TEXT BOOK OF ACCOUNTING FOR MANAGEMENT,"S N MAHESHWARI, S K MAHESHWARI",VIKAS PUBLISHING HOUSE,,Accounting,
371,445,A TEXT BOOK OF ACCOUNTING FOR MANAGEMENT,"S N MAHESHWARI, S K MAHESHWARI",VIKAS PUBLISHING HOUSE,,Accounting,
372,Z3046,A TEXT BOOK OF ACCOUNTING FOR MANAGEMENT,"S N MAHESHWARI, S K MAHESHWARI",VIKAS PUBLISHING HOUSE,,Accounting,
373,435,INTERNATIONAL ACCOUNTIG,"FREDERICK CHOI, GARRY K MEEK",PEARSON EDUCATION,,Accounting,
374,Z4079,ADVANCED ACCOUNTS,"M C SHUKLA, T S GREWAL, S C GUPTA",S CHAND PUBLICATION,,Accounting,
375,Z2164,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
376,Z2184,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
377,Z2183,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
378,Z2237,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
379,Z2238,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
380,Z2122,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
381,Z3018,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
382,Z2161,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
383,Z2163,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
384,Z2159,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
385,Z2160,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
386,Z2162,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
387,Z2218,MANAGEMENT ACCOUNTING ,PARESH SHAH,OXFORD,,Accounting,
388,436,MANAGEMENT ACCOUNTING ,"ATKISON, KAPLAN, YOUND",PEARSON EDUCATION,,Accounting,
389,424,MANAGEMENT ACCOUNTING ,"ATKISON, KAPLAN, YOUND",PEARSON EDUCATION,,Accounting,
390,422,MANAGEMENT ACCOUNTING ,"ATKISON, KAPLAN, YOUND",PEARSON EDUCATION,,Accounting,
391,563,ACCOUNTING FOR MANAGERS,"R L GUPTA, V K GUPTA",S CHAND PUBLICATION,,Accounting,
392,629,ACCOUNTING FOR MANAGERS,"R L GUPTA, V K GUPTA",S CHAND PUBLICATION,,Accounting,
393,1148,ACCOUNTING FOR MANAGERS,"R L GUPTA, V K GUPTA",S CHAND PUBLICATION,,Accounting,
394,Z3018A,ACCOUNTING FOR MANAGERS,"R L GUPTA, V K GUPTA",S CHAND PUBLICATION,,Accounting,
395,434,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
396,433,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
397,423,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
398,429,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
399,433,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
400,425,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
401,453,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
402,461,COST ACCOUNTING MANAGERIAL EMPHASIS,"HORNGREN, DATAR, FOSTER",PHI,,Accounting,
403,Z3025,ESSENTIALS OF FINANCIAL ACCOUNTING,ASISH BHATTACHARYA,PHI,,Accounting,
404,452,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
405,427,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
406,460,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
407,1123,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
408,418,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
409,451,ACCOUNTING FOR MANAGEMENT,"S K BHATTACHARYA, JOHN DEARDEN",VIKAS PUBLISHING HOUSE,,Accounting,
